year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2020	TSI	Concours Polytechnique	ECOLE POLYTECHNIQUE	669	10,3%	15,8%				2	0,0%	0,0%	2	0,0%	0,0%	2	2	2
2020	TSI	CONCOURS CENTRALE-SUPELEC	Arts et MÃ©tiers										36	8,3%	19,4%	83	83	35
2020	TSI	CONCOURS CENTRALE-SUPELEC	Arts et MÃ©tiers - voie de l'apprentissage										0	0,0%	0,0%	0	0	0
2020	TSI	CONCOURS CENTRALE-SUPELEC	Concours ARTS ET MÃTIERS ParisTech TSI	852	9,9%	16,0%				395	10,1%	20,3%	36					35
2020	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE CASABLANCA	317	8,8%	18,9%				142	7,0%	22,5%	2	0,0%	100,0%	68	68	3
2020	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE CASABLANCA	113	27,4%	5,3%				62	29,0%	0,0%	1	0,0%	0,0%	37	37	9
2020	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE LILLE	619	10,8%	16,3%				340	10,9%	18,5%	6	16,7%	0,0%	42	40	5
2020	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE LYON	617	11,2%	16,4%				348	10,3%	18,4%	5	0,0%	40,0%	22	21	5
2020	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE MARSEILLE	629	11,1%	17,5%				351	11,4%	19,9%	4	0,0%	0,0%	53	53	5
2020	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE NANTES	686	10,3%	15,7%				389	9,8%	17,5%	10	40,0%	10,0%	29	28	10
2020	TSI	CONCOURS CENTRALE-SUPELEC	CentraleSupÃ©lec - statut Ã©tudiant										5	0,0%	0,0%	6	6	5
2020	TSI	CONCOURS CENTRALE-SUPELEC	CentraleSupÃ©lec - cursus apprenti - Campus Metz										7	0,0%	28,6%	61	66	8
2020	TSI	CONCOURS CENTRALE-SUPELEC	CentraleSupÃ©lec - cursus apprenti - Campus Rennes										8	0,0%	25,0%	43	41	8
2020	TSI	CONCOURS CENTRALE-SUPELEC	Concours CentraleSupÃ©lec TSI	643	9,6%	16,3%				346	7,8%	18,8%	20					21
2020	TSI	CONCOURS CENTRALE-SUPELEC	ENSEA Cergy										9	11,1%	66,7%	176	173	10
2020	TSI	CONCOURS CENTRALE-SUPELEC	ESIEE Amiens										1	0,0%	0,0%	268	268	5
2020	TSI	CONCOURS CENTRALE-SUPELEC	Concours ARTS ET MÃTIERS ParisTech TSI	852	9,9%	16,0%				395	10,1%	20,3%	10					15
2020	TSI	CONCOURS CENTRALE-SUPELEC	ESIX Normandie - Caen - Cherbourg	582	9,6%	16,8%				404	8,4%	17,8%	34	8,8%	14,7%	237	240	40
2020	TSI	CONCOURS CENTRALE-SUPELEC	ESTP Paris - BÃ¢timent (B) - campus de Cachan										8	12,5%	0,0%	85	86	6
2020	TSI	CONCOURS CENTRALE-SUPELEC	ESTP Paris - BÃ¢timent (B) - campus de Troyes										11	18,2%	0,0%	219	190	11
